cluster,key word,response,processed response
0,interact,More interactive ,interact
0,interact,More interactive,interact
0,interact,More interaction,interact
0,content,More interactive content,interact content
0,interact,More interactive ,interact
0,need,Need more interaction with the students!,need interact student
0,interact,More interaction,interact
0,interact,More interactive ,interact
0,interact,More interactive ,interact
0,interact,More interaction ,interact
0,interact,More interactive,interact
0,interact,More interaction,interact
0,interact,More interactivity ,interact
0,interact,More interaction,interact
0,make,I would make them more interactive,would make interact
0,learn,More interactive learning,interact learn
0,wish,I wish they were more interactive ,wish interact
0,access,I would make it more accessible and interactive ,would make access interact
0,teach,I would rather have interactive teaching,would rather interact teach
0,certain,more interaction at certain times ,interact certain time
0,quizz,More interactive quizzes and learning ,interact quizz learn
0,make,To make them more interactive ,make interact
0,make,Make them more interactive ,make interact
0,interact,More interactive ,interact
0,interact,more interactive,interact
0,good,some more interactivity would be good,interact would good
0,interact,Be more interactive ,interact
0,interact,More interactive,interact
0,interact,More interactive ,interact
0,interact,More interaction,interact
0,make,I’d make them more interactive,i’d make interact
0,teacher,more interaction with teachers,interact teacher
0,interact,Have more live interactions.,live interact
0,interact,More interaction,interact
0,like,i would like them to be more interactive ,would like interact
0,professor,More interaction with professors.,interact professor
0,tutor,Make it more interactive with tutors,make interact tutor
0,level,Interaction levels (more),interact level
0,like,I’d like them to have more interaction. ,i’d like interact
0,make,Make them more interactive,make interact
0,interact,more interactive ,interact
0,content,More interactive content ,interact content
0,interact,more interaction ,interact
0,opportun,More interactive learning opportunities ,interact learn opportun
0,interact,More interactive ,interact
0,interact,More interaction,interact
0,interact,More interaction,interact
0,activ,More interactive activities ,interact activ
0,tutor,More interaction with tutors ,interact tutor
0,make,Make lectures more interactive,make lectur interact
0,interact,more interaction ,interact
0,interact,More interactive,interact
0,interact,More interactive ,interact
0,session,Have an interactive session,interact session
0,make,I would make them more interactive.,would make interact
0,directli,I would give online interactive lectures so that students are able to interact directly with the lecturer.,would give onlin interact lectur student abl interact directli lectur
0,teach,More interactive teaching,interact teach
0,throughout,More questions throughout to make them interactive,question throughout make interact
0,person,It needs to be more interactive and personalized. ,need interact person
0,thing,Things that were more interactive ,thing interact
0,interact,More interaction ,interact
0,make,I would make them more interactive ,would make interact
0,interact,More interaction between the students because the interaction between students has helped immensely with knowing material better. Not group projects but interaction during class has helped me in the past. ,interact student interact student help immens know materi better group project interact class help past
0,interact,More interaction ,interact
0,activ,More interactive activities ,interact activ
1,60,Usually we are 60 students with a single teacher in the live class. If we were divided into smaller groups I think there would be more space for debate and and for us in-class assignments. ,usual 60 student singl teacher live class divid smaller group think would space debat us inclass assign
1,set,I would like group projects. That is the ability of lecturers to set group tasks during a meeting with a set time period - because it would inspire me to be more productive ,would like group project abil lectur set group task meet set time period would inspir product
1,structur,More structure and time for group work,structur time group work
1,indepth,Smaller groups to allow for more in-depth discussion and time available to properly answer questions ,smaller group allow indepth discuss time avail properli answer question
1,split,Split into smaller groups ,split smaller group
1,one,"Smaller groups, one on one with teacher like how a tutorial would be",smaller group one one teacher like tutori would
1,quarantin,Smaller study like groups to be able to have more social interaction within the learning environment to reduce how isolating quarantine is.,smaller studi like group abl social interact within learn environ reduc isol quarantin
1,access,Less group work. More accessibility to tutors and lecturers to ask questions ,less group work access tutor lectur ask question
1,smaller,Smaller groups,smaller group
1,group,In smaller groups. Because it’s online there is the problem of speaking all at one moment + you just can’t hear everyone that well. Smaller groups would be better for having a reflection session and having to discuss things in group ,smaller group it’ onlin problem speak one moment can’t hear everyon well smaller group would better reflect session discuss thing group
1,involv,I would make smaller groups so more people want to be involved.,would make smaller group peopl want involv
1,process,More discussions with small groups of students to process the course contents,discuss small group student process cours content
1,discussionmeet,More discussion/meetings in small groups. With the few live classes it has always been with half our year so 250 people. It's not easy being confident enough to contribute thoughts when the group is that big.,discussionmeet small group live class alway half year 250 peopl easi confid enough contribut thought group big
1,split,Splitting up in smaller groups so there can be interaction,split smaller group interact
1,chat,I would have more video chats in smaller groups. Video chats in large groups are noisy and disorganized. But video chats with the teacher do allow more interaction and asking questions. ,would video chat smaller group video chat larg group noisi disorgan video chat teacher allow interact ask question
1,final,make more smaller assignments instead of one final,make smaller assign instead one final
1,group,"I would make less group projects, as group video calls intimidate me",would make less group project group video call intimid
1,activ,more group activities,group activ
1,project,"More small projects in groups or individually, to make it more interesting.",small project group individu make interest
1,breakout,Less lecture time and more group work in breakout rooms,less lectur time group work breakout room
1,remain,"More small group discussions during the lectures, because otherwise it’s hard to remain engaged",small group discuss lectur otherwis it’ hard remain engag
1,particip,To have more discussions in smaller groups to make it easier for everyone to participate.,discuss smaller group make easier everyon particip
1,daunt,Have smaller groups and allow time for people to speak bc it becomes a bit more daunting to engage with the content and with the class in general,smaller group allow time peopl speak bc becom bit daunt engag content class gener
1,smaller,Make them in smaller groups and interactive ,make smaller group interact
1,courag,Smaller groups! our online lectures are up to 150 students and I think it’s hard to find the courage to actually unmute and ask something,smaller group onlin lectur 150 student think it’ hard find courag actual unmut ask someth
1,subject,More group work on a subject,group work subject
1,smaller,Smaller groups ,smaller group
1,languag,"Size of group, so that everyone gets more chances to practice speaking (since it's a language course) ",size group everyon get chanc practic speak sinc languag cours
1,space,Create more spaces for small group learning ,creat space small group learn
1,via,"Smaller groups, via Zoom it‘s Not the Same. ",smaller group via zoom it‘
1,30,"Smaller groups, we are currently about 30 People, because that would make it easier to ask questions",smaller group current 30 peopl would make easier ask question
1,size,Smaller group sizes,smaller group size
1,social,"Some unis have zoom meetings in smaller group with just the students where they get to study together during class, I think that would be good for socializing and staying motivated...",uni zoom meet smaller group student get studi togeth class think would good social stay motiv
1,easier,Class meetings with smaller groups so asking questions and engaging with other students would be easier. ,class meet smaller group ask question engag student would easier
1,engageto,I would make more breakout sessions to discuss in smaller groups because that would be easier for everybody to engage/to participate in discussions,would make breakout session discuss smaller group would easier everybodi engageto particip discuss
1,smaller,Smaller groups,smaller group
1,wholeclass,That there would be a focus on smaller groups and not a whole-class discussion. And that it would be more interactive ,would focu smaller group wholeclass discuss would interact
1,feed,Just have the big lectures online and the seminars in a discussion forum. Because life feeds about a lecture is not as important as discuss in a smaller group ,big lectur onlin seminar discuss forum life feed lectur import discuss smaller group
1,smaller,Smaller groups,smaller group
1,1020,"Smaller group classes. We only have language courses with 10-20 people, all the other courses 40+ ones. Online classes would be more effective with smaller groups in more interactive classes.",smaller group class languag cours 1020 peopl cours 40 one onlin class would effect smaller group interact class
1,target,"Make the groups smaller, classes more topic based instead of teachers being stressed about meeting a target for the next assessment or internals.",make group smaller class topic base instead teacher stress meet target next assess intern
1,start,I would start smaller group discussions with the professor because it would be much more interactive.,would start smaller group discuss professor would much interact
1,call,More zoom group calls!,zoom group call
1,group,More group work ,group work
1,smaller,Smaller class groups,smaller class group
1,group,More group work ,group work
1,collabor,More collaboration and group work. I really miss interacting with classmates.,collabor group work realli miss interact classmat
1,split,Instead of large live meeting split into smaller lecture groups ,instead larg live meet split smaller lectur group
1,poll,"More interactive activities ie questions, polls, group discussion ",interact activ ie question poll group discuss
1,goal,I would have liked to have group discussions with pre-readings and learning goals ,would like group discuss preread learn goal
1,larger,For larger lectures having more breakout sessions in smaller groups to further discuss a topic would have been helpful ,larger lectur breakout session smaller group discuss topic would help
1,avoid,Increase interaction with students to avoid people feeling isolated in learning for example small group work or discussions ,increas interact student avoid peopl feel isol learn exampl small group work discuss
1,size,Smaller group sizes ,smaller group size
1,intellectu,"More small group discussions, because I miss peer intellectual conversations the most in this time.",small group discuss miss peer intellectu convers time
1,benefit,Have more online meetings/ recorded material from lectures. Conduct tutorials or workshops online in smaller groups to allow everyone to benefit and able to interact with lecturer ,onlin meet record materi lectur conduct tutori workshop onlin smaller group allow everyon benefit abl interact lectur
1,partecip,"I would lovr for us to have smaller groups, so that we could actually all interact and partecipate",would lovr us smaller group could actual interact partecip
1,attend,I would prefer having smaller groups attending. ,would prefer smaller group attend
1,smaller,I would make smaller groups,would make smaller group
1,small,Small groups work better,small group work better
1,peer,"more small group discussions, to learn more from my peers",small group discuss learn peer
1,group,"I would try to make them more efficient and personal. Some of my presentations take very long, because of the big group of people. I would break the big group up in smaller groups more often to discuss and brainstorm and to return with a more active attitude. If these groups are randomised every time, you still stay in personal contact with lots of people just as you would in regular class ",would tri make effici person present take long big group peopl would break big group smaller group often discuss brainstorm return activ attitud group randomis everi time still stay person contact lot peopl would regular class
1,organis,For it to be a bit more organised with smaller group sessions,bit organis smaller group session
1,one,"I would have smaller groups and students could be assigned to them according their time zones. Moreover, I would like more one on one office hours with my tutors. ",would smaller group student could assign accord time zone moreov would like one one offic hour tutor
1,mayb,Maybe some smaller groups for more engagement,mayb smaller group engag
1,neccessari,"Have more meetings in smaller groups, because we have to participate in the discussions and with a bigger group there is less room for related, but not neccessary, points to be discussed",meet smaller group particip discuss bigger group less room relat neccessari point discuss
1,id,"We are divided to have class in smaller groups for most classes. And not all of my classmates are participating in classes, and at times I'd be alone in a class with the teacher. And I'd like to sometimes be in a more motivated group because that really helps to stay enthusiastic about what it is we're doing. ",divid class smaller group class classmat particip class time id alon class teacher id like sometim motiv group realli help stay enthusiast
1,smaller,I would have smaller working groups ,would smaller work group
1,smaller,More interaction and smaller groups,interact smaller group
1,messi,I would change the communication. I would like to have more q and a because that clarifies my answers. Group discussions are messy.,would chang commun would like q clarifi answer group discuss messi
1,debatesfeedback,I would like more group debates/feedback,would like group debatesfeedback
1,smaller,smaller groups with more interaction ,smaller group interact
1,topic,"I would like to do more group assignments, so we can discuss about the topics.",would like group assign discuss topic
1,50,The size of the group. 50 students in 1 meeting is just too many for an online debate..,size group 50 student 1 meet mani onlin debat
1,smaller,Smaller groups for better discussions and time to ask questions,smaller group better discuss time ask question
1,larger,Smaller groups work better than larger groups to discuss things ,smaller group work better larger group discuss thing
1,prerecord,I would have more smaller group activities and less pre-recorded lectures,would smaller group activ less prerecord lectur
1,larg,"Make the teaching smaller and more interactive, as our course is quite large",make teach smaller interact cours quit larg
1,enabl,"I would get more interactive sessions or small group assignments because that enables me to understand the content better and work with other students, which I really miss from being in in-person learning. ",would get interact session small group assign enabl understand content better work student realli miss inperson learn
1,100,"It would be better to work in smaller groups, instead of 100 people ",would better work smaller group instead 100 peopl
1,read,"More interaction, more group discussion, less reading ( most of my education has just been reading since lockdown)",interact group discuss less read educ read sinc lockdown
1,account,Smaller groups so you feel more accountable ,smaller group feel account
1,smaller,More in smaller groups,smaller group
1,still,Make the groups smaller. This way you can still engage with the teacher. ,make group smaller way still engag teacher
1,pretti,All are actually pretty good. Maybe break us down into smaller groups for some lectures so we can talk more,actual pretti good mayb break us smaller group lectur talk
1,assig,more group assigments during class,group assig class
1,group,"All of them are different, but I would definitely want more engaging forms of individual work. We get group assignments with short deadlines or we have discussions, but comparing to real life classes, the group work is way less efficient and the discussions are more difficult to structure.",differ would definit want engag form individu work get group assign short deadlin discuss compar real life class group work way less effici discuss difficult structur
1,ou,"More interaction between the teachers and us, and more interactions between classmates (quick grupo work ou group discussion in class) ",interact teacher us interact classmat quick grupo work ou group discuss class
1,attende,"i’d like our live classes to be separated in smaller groups (e.g. now it’s about 30 attendees per a class, i’d prefer it up to 15) ",i’d like live class separ smaller group eg it’ 30 attende per class i’d prefer 15
1,push,Having pre-readings and group discussion among the students. This is to prepare students and push them to learn before the actual class and also group discussions for knowledge sharing.,preread group discuss among student prepar student push learn actual class also group discuss knowledg share
1,inst,Make more smaller groups insted of one group with lots of students,make smaller group inst one group lot student
1,group,Maybe more group work like little projects that we discuss later in small groups with teacher,mayb group work like littl project discuss later small group teacher
1,group,"Every single lecturer has given us group work assignments, they are very draining when group members dont pull their weight. I wouldn't want to take away group work, but I would like to add in more individual assignments.",everi singl lectur given us group work assign drain group member dont pull weight wouldnt want take away group work would like add individu assign
1,size,Smaller class sizes ,smaller class size
1,work,I would make the classes more engaging and I would make the students work in smaller groups so we could work together and have the 'social aspect' that is lost with online classes.,would make class engag would make student work smaller group could work togeth social aspect lost onlin class
1,smaller,Smaller groups with  interactions between the teacher and the students. ,smaller group interact teacher student
1,cold,"Smaller groups, classes with 100 students feel cold and distant and don’t give me self confidence about asking questions.",smaller group class 100 student feel cold distant don’t give self confid ask question
1,track,More interactive and smaller assignments to help you stay on track,interact smaller assign help stay track
1,session,Have smaller group sessions with professors,smaller group session professor
1,crowd,Classes are way too crowded. If they were to arranged in smaller groups they would be more effective.,class way crowd arrang smaller group would effect
1,allow,"Smaller groups, to allow for easier discussion ",smaller group allow easier discuss
1,indepth,Smaller groups so there’s more in-depth conversation to be had and equal time given,smaller group there’ indepth convers equal time given
1,contribut,Would increase the contribution of students by breaking into smaller groups or asking everyone to contribute something so that it is more interesting.,would increas contribut student break smaller group ask everyon contribut someth interest
1,meet,I would have more small group meetings so meetings feel more personal,would small group meet meet feel person
1,confid,Do it in smaller groups as I feel more confident speaking up.,smaller group feel confid speak
1,seminartutor,perhaps a group with my professors and my seminar/tutor group where we can post any queries or ask questions about reading or assignments and received a faster response ,perhap group professor seminartutor group post queri ask question read assign receiv faster respons
1,small,More small group discussion,small group discuss
1,smaller,Smaller groups ,smaller group
1,discuss,More group discussion because I find that when you are discussing in a whole group discussion it is better to pick out ideas with others first.,group discuss find discuss whole group discuss better pick idea other first
1,addit,Addition of small group discussion.,addit small group discuss
1,comfort,Smaller class sizes so I feel more comfortable to ask questions ,smaller class size feel comfort ask question
1,comfort,Smaller groups to feel more comfortable asking questions,smaller group feel comfort ask question
1,slip,"We have the same breakout groups each session, so contribution has tended to slip into specific roles (i.e. who does most of the talking, who takes the notes) would be nice to get a variety of different groups to mix things up",breakout group session contribut tend slip specif role ie talk take note would nice get varieti differ group mix thing
1,convers,"a way to discuss in smaller groups, without hearing others conversations",way discuss smaller group without hear other convers
1,smaller,Smaller groups so we can all interact more,smaller group interact
1,interactivemor,More interactive/more facilities for break out groups ,interactivemor facil break group
1,way,"The way bigger groups work, because seminar style lessons don't work unless people contribute, and there isn't a way to break into smaller groups etc.",way bigger group work seminar style lesson dont work unless peopl contribut isnt way break smaller group etc
1,85,"smaller groups, 85 students is a lot when there are multiple people talking at once. it’s very difficult to ask questions if you are interrupted by peers",smaller group 85 student lot multipl peopl talk it’ difficult ask question interrupt peer
1,intimid,More break out small groups - much less intimidating and makes sure it’s not just one person contributing all of the time ,break small group much less intimid make sure it’ one person contribut time
1,prescrib,More prescribed small group work to have further interaction with classmates,prescrib small group work interact classmat
1,rack,Smaller groups?? Little bit nerve racking speaking in front of whole class,smaller group littl bit nerv rack speak front whole class
1,smaller,More interactive and smaller groups,interact smaller group
1,smaller,Just use smaller groups,use smaller group
1,larg,"Because my course consists of a large group of students no one ever gets involved in a proper discussion, I miss being able to express my opinions/ideas as I just don’t feel comfortable sharing them with such a large group. I would definitely break up the whole group into smaller online classes if I could. ",cours consist larg group student one ever get involv proper discuss miss abl express opinionsidea don’t feel comfort share larg group would definit break whole group smaller onlin class could
1,ad,small group discussions could be added for further interaction with students,small group discuss could ad interact student
1,11,Maybe smaller groups or have 10 mins 1:1,mayb smaller group 10 min 11
1,size,smaller class size so more interaction with each other,smaller class size interact
1,mean,"Having a smaller group, would mean it would be easier to ask questions.",smaller group would mean would easier ask question
1,quizz,"More engaging, using more quizzes and more group work ",engag use quizz group work
1,30,"Smaller groups, higher interaction. Don’t feel comfortable with 30+ people seeing me and my room on zoom. ",smaller group higher interact don’t feel comfort 30 peopl see room zoom
1,implement,"Implement more group discussion, rather than the tutor just presenting to us and saying we can ask questions individually ",implement group discuss rather tutor present us say ask question individu
1,style,"More debate style, group discussions in classes. ",debat style group discuss class
1,small,More lectures and small groups,lectur small group
1,tini,I’d make our small group even smaller just because the nature of our course requires our teachers to be specific in their feedback and they’re not always able to be when trying to feed back on 14 tiny boxes.,i’d make small group even smaller natur cours requir teacher specif feedback they’r alway abl tri feed back 14 tini box
1,size,Smaller class sizes,smaller class size
1,size,"The groups sizes. They have tended to bung us altogether into one massive cohort and so I would prefer smaller group sizes of 20ish rather than the 50 + group size we have, because smaller groups make it less intimidating to speak up.",group size tend bung us altogeth one massiv cohort would prefer smaller group size 20ish rather 50 group size smaller group make less intimid speak
1,confer,"Smaller group conferences so we can have better discussions, rather than whole cohort video calls.",smaller group confer better discuss rather whole cohort video call
1,seminar,I’d make seminars more engaging! I like online lectures but seminars really require group discussion and it so often just feels like the tutor lecturing at us. We never do group work or quizzes etc so it can be quite draining.,i’d make seminar engag like onlin lectur seminar realli requir group discuss often feel like tutor lectur us never group work quizz etc quit drain
1,wouldnt,"Is hard to do group work online, I wouldn't do them. ",hard group work onlin wouldnt
1,slightli,Make the classes slightly smaller so that discussions can be more in depth and the teacher can answer everyone. ,make class slightli smaller discuss depth teacher answer everyon
1,peopl,"The classes I was in had around 14 pupils, I think if they could’ve done smaller groups I might’ve felt more comfortable as I’d be able to recognise voices and works with similar people each week, rather than a different group of people each week. Also when sending us into break out groups for 1-1 discussions, a lot of the time people were confused by the readings, it would’ve been nice for the teacher to clarify readings and answer any questions before we fully analysed them perhaps",class around 14 pupil think could’v done smaller group might’v felt comfort i’d abl recognis voic work similar peopl week rather differ group peopl week also send us break group 11 discuss lot time peopl confus read would’v nice teacher clarifi read answer question fulli analys perhap
1,encourag,Needs to encourage more group work and active interaction and engagement. ,need encourag group work activ interact engag
1,abl,Have smaller groups so the lectures are more personal and I feel able to ask more questions ,smaller group lectur person feel abl ask question
1,slightli,Make the classes slightly smaller so that discussions can be more in depth and the teacher can answer everyone. ,make class slightli smaller discuss depth teacher answer everyon
1,round,Maybe student groups and smaller discussion rounds could be formed - to have a chance to interact with other students and talk about the lectured content. ,mayb student group smaller discuss round could form chanc interact student talk lectur content
1,tutori,I would like to have online tutorial groups as this would be very helpful ,would like onlin tutori group would help
1,hold,I would want tutorials (small group) teaching as they have note even tried to hold these sessions online.,would want tutori small group teach note even tri hold session onlin
1,peer,More small group teaching where you can discuss things with a lecturer and your peers.,small group teach discuss thing lectur peer
1,group,We would have more live group interactions,would live group interact
1,smaller,Smaller groups ,smaller group
1,small,More small group teaching ,small group teach
1,small,More small group teaching,small group teach
1,seminar,Smaller groups for discussion and seminars.,smaller group discuss seminar
1,virtual,Scheduled small group  tutorials on Zoom or any other virtual video calls - where you can discuss the work with others and Lecturer ,schedul small group tutori zoom virtual video call discuss work other lectur
1,larg,"More live activities, even if in large groups because would help for a schedule and to see other people",live activ even larg group would help schedul see peopl
1,smaller,"Make them smaller group discussions, rather than a lecture.",make smaller group discuss rather lectur
1,bite,More live zooms and more bite sized smaller assignments ,live zoom bite size smaller assign
1,mixtur,Mixture better and more chats with smaller group sizes,mixtur better chat smaller group size
1,abl,"Be able to do them more often, be able to type in questions to the teacher, have the option to go off into smaller groups.",abl often abl type question teacher option go smaller group
1,line,Set times for lectures in line with timetable. Interactive seminars rather than listening to tutors. Working in smaller groups to discuss answers.,set time lectur line timet interact seminar rather listen tutor work smaller group discuss answer
1,equal,Smaller discussion groups would make it a lot easier for everyone to equally participate ,smaller discuss group would make lot easier everyon equal particip
1,monitor,more small group sessions with activities that are monitored and the chance to ask questions ,small group session activ monitor chanc ask question
1,gta,"I would make it more personal by making small groups that discuss a lecture together with a GTA. So instead of just Q&A hours, I would have preferred discussing groups.",would make person make small group discuss lectur togeth gta instead qa hour would prefer discuss group
1,smaller,Have more smaller group discussions ,smaller group discuss
1,don,Smaller teaching groups for live sessions do that everyone is encouraged to talk as some people don’t say anything and don’t participate in group work,smaller teach group live session everyon encourag talk peopl don’t say anyth don’t particip group work
1,daunt,Smaller class sizes to make involvement less daunting ,smaller class size make involv less daunt
1,biomed,Would like live classrooms in smaller groups so easier to ask questions \nMore structured pre-reading as readings are mostly given after the lecture for my course (Biomedical Sciences) ,would like live classroom smaller group easier ask question nmore structur preread read mostli given lectur cours biomed scienc
1,discurs,"Have them in smaller groups so they can be more interactive. Even with 8 people in a class, it is hard for it to be as discursive as it is in person. ",smaller group interact even 8 peopl class hard discurs person
1,check,Some small group sessions to answer questions and check understanding,small group session answer question check understand
1,sam,include more varied group learning/activities- I have worked with the sam group of 5 people for the whole semester,includ vari group learningact work sam group 5 peopl whole semest
1,enabl,Smaller class sizes to enable greater discussion,smaller class size enabl greater discuss
1,comfort,Smaller groups so you feel more comfortable to engage. ,smaller group feel comfort engag
1,140,"More interactive, but in smaller groups. It’s hard to raise questions in a live class of 140 students ",interact smaller group it’ hard rais question live class 140 student
1,possibl,"Smaller teaching groups more like seminars where possible, zoom chats with discussion are great for developed learning and sometimes even better then lectures but only when there is the time and possibility to discuss as a group and have debates about topics ",smaller teach group like seminar possibl zoom chat discuss great develop learn sometim even better lectur time possibl discuss group debat topic
1,theyr,"They're done in smaller groups, making it easier to maybe ask more personal questions",theyr done smaller group make easier mayb ask person question
1,tutori,More tutorials in smaller groups and actual discussions so we could better understand a topic,tutori smaller group actual discuss could better understand topic
1,smaller,Smaller groups,smaller group
1,witj,"I would like more interaction between students, possibly by creating smaller groups to work witj",would like interact student possibl creat smaller group work witj
1,virtual,More small group virtual tutorials and Q and A sessions,small group virtual tutori q session
1,tech,Smaller concentrated groups and more accessible tech.,smaller concentr group access tech
1,lucki,"I think study groups could be useful, my friends and i set one up for us but I know not everyone on the course is a lucky as this. I think discussing answers in groups with other students is a really valuable way of processing information.",think studi group could use friend set one us know everyon cours lucki think discuss answer group student realli valuabl way process inform
1,chanc,More use of break out groups or a chance for us to speak more,use break group chanc us speak
1,aid,Smaller seminar groups to aid discussion,smaller seminar group aid discuss
1,expand,More live sessions or an option for group discussion to expand on content learned.,live session option group discuss expand content learn
1,easier,"make it easier to engage with them, i.e smaller groups so it’s easier for everybody to talk ",make easier engag ie smaller group it’ easier everybodi talk
1,smaller,more interactive- smaller groups,interact smaller group
1,encourag,I’d include more time for online seminars/tutorials in smaller groups as I feel like this would encourage engagement and make me feel more accountable to my tutors and encourage me to do the extra work,i’d includ time onlin seminarstutori smaller group feel like would encourag engag make feel account tutor encourag extra work
1,crit,"I’d have more talking time with tutors, and chance for group calls with out usual crit groups of about 6 people",i’d talk time tutor chanc group call usual crit group 6 peopl
1,smaller,Smaller groups ,smaller group
1,journal,"I would incorporate live group tasks. For example, being given a journal article to present as a group live to my course mates",would incorpor live group task exampl given journal articl present group live cours mate
1,wide,Have discussions with the year group to get a wide variety of ideas ,discuss year group get wide varieti idea
1,smaller,Smaller classes,smaller class
1,forum,Make them more interactive and have a forum where we can do smaller group works as well. ,make interact forum smaller group work well
1,group,More group discussions ,group discuss
1,nurs,They become more specific to the class group because we had many q and a sessions with the other nursing groups which require different information so it was rather confusing ,becom specif class group mani q session nurs group requir differ inform rather confus
1,size,Size of groups. It’s too hard to talk when on a call with so many people,size group it’ hard talk call mani peopl
1,comfort,It’s very awkward ... so make it more comfortable? Smaller classes?,it’ awkward make comfort smaller class
1,intimid,Smaller groups so less intimidating,smaller group less intimid
1,smaller,Smaller classes.,smaller class
1,includ,Small group work/ discussion included ,small group work discuss includ
1,other,"More interactive, maybe having small discussion groups with others on the course",interact mayb small discuss group other cours
1,smaller,More interactive - smaller groups. ,interact smaller group
